ID_Estudiante,Facultad,Carrera,Edad,Genero,Ciclo_Actual,Promedio_Ponderado,Creditos_Aprobados,Cursos_Desaprobados,Asistencia_Porcentaje,Ranking_Facultad,Modalidad_Ingreso,Ingreso_Familiar_Mensual,Distrito_Residencia,Tiempo_Transporte_Minutos,Tiene_Internet,Tiene_Computadora,Trabaja,Vive_Con_Padres,Nivel_Estres,Satisfaccion_Carrera,Participacion_Actividades,Horas_Estudio_Diarias,Uso_Biblioteca,Uso_Tutorias,Actividades_Extracurriculares,Probabilidad_Desercion
UNI000001,FIAU,Ingeniería de Recursos Naturales,22,M,10,9.56,103,3,75.15,98,Ordinario,2652.28,Los Olivos,55.0,0,0,0,1,2,1,2,3.6,1,0,0,0.45
UNI000002,FIQT,Ingeniería Textil,20,M,6,14.11,33,2,76.44,49,IEN,4064.18,Los Olivos,67.0,1,1,1,1,3,1,3,4.3,0,0,1,0.2
UNI000003,FIP,Ingeniería de Petróleo,20,F,10,15.1,101,2,76.54,11,Traslado Externo,5115.05,San Miguel,93.0,1,1,1,1,2,5,3,3.6,1,1,1,0.2
UNI000004,FIIS,Ingeniería Industrial,26,M,2,10.72,126,4,100.0,78,Dos Primeros,3508.37,Independencia,81.0,1,1,0,1,4,1,1,3.3,0,0,2,0.25
UNI000005,FIAU,Ingeniería Ambiental,28,M,10,15.27,213,2,82.48,47,Ordinario,1684.33,Callao,44.0,1,1,1,0,4,5,2,2.5,1,0,1,0.2
UNI000006,FAU,Arquitectura,20,M,4,16.62,68,1,77.97,79,Ordinario,2028.1,Breña,15.0,1,1,0,1,5,5,4,4.0,0,1,0,0.2
UNI000007,FIM,Ingeniería Mecánica,16,M,10,14.06,175,0,84.97,35,IEN,1511.67,Breña,66.0,1,1,0,1,1,3,2,3.2,1,0,2,0.0
UNI000008,FIAU,Ingeniería Ambiental,23,M,9,13.69,39,1,82.78,71,Ordinario,2870.83,Los Olivos,76.0,1,1,0,1,3,3,2,5.3,0,1,2,0.0
UNI000009,FIP,Ingeniería Petroquímica,27,M,9,10.26,178,1,93.11,29,IEN,2722.76,San Juan de Lurigancho,38.0,1,0,1,1,3,5,3,4.2,0,1,2,0.25
UNI000010,FIIS,Ingeniería de Sistemas,26,F,6,14.64,79,2,64.61,54,Ordinario,2863.39,San Juan de Lurigancho,60.0,1,1,0,1,5,3,1,4.6,0,0,0,0.3
UNI000011,FIQT,Ingeniería Textil,16,F,4,10.45,140,1,75.45,86,Ordinario,1926.58,San Martín de Porres,55.0,1,1,1,1,5,4,2,3.8,1,1,1,0.45
UNI000012,FIP,Ingeniería de Petróleo,19,M,7,13.24,217,4,93.47,23,Dos Primeros,1826.4,Los Olivos,62.0,0,1,0,1,2,2,0,4.2,0,0,3,0.25
UNI000013,FIP,Ingeniería Petroquímica,24,M,1,13.44,30,1,80.11,24,Ordinario,3094.12,La Victoria,49.0,1,1,1,1,5,1,0,3.1,1,0,1,0.3
UNI000014,FIM,Ingeniería Mecatrónica,29,F,4,5.91,115,2,77.45,99,IEN,3484.41,Ate,86.0,1,1,0,1,3,1,1,2.8,1,0,3,0.35
UNI000015,FC,Matemática,24,M,5,13.31,166,0,77.0,10,Ordinario,1815.16,Cercado de Lima,63.0,0,1,0,1,1,1,4,4.0,1,0,0,0.2
UNI000016,FIIS,Ingeniería de Sistemas,20,F,8,17.74,62,1,92.24,61,IEN,3473.72,San Miguel,42.0,1,1,0,1,1,1,5,4.6,1,1,1,0.1
UNI000017,FIC,Ingeniería Civil,19,F,2,8.32,47,2,91.8,8,Ordinario,3946.77,Independencia,78.0,1,0,0,1,3,4,2,2.1,0,1,0,0.25
UNI000018,FIP,Ingeniería Petroquímica,18,F,5,12.39,86,2,94.58,48,Dos Primeros,930.0,Breña,35.0,1,1,0,1,2,4,5,3.5,0,0,0,0.2
UNI000019,FC,Química,18,M,6,8.61,47,5,73.37,76,Ordinario,4575.68,San Martín de Porres,86.0,0,1,0,1,1,2,2,5.8,0,0,2,0.4
UNI000020,FIC,Ingeniería Civil,27,M,5,10.71,60,3,72.78,93,Ordinario,3702.2,Callao,80.0,1,1,1,1,1,5,3,4.5,1,0,1,0.2
UNI000021,FIIS,Ingeniería Industrial,20,M,9,8.64,139,0,96.37,29,Ordinario,3956.13,La Victoria,88.0,1,1,0,0,2,3,2,5.5,1,1,2,0.25
UNI000022,FIEE,Ingeniería Electrónica,25,F,10,12.82,77,1,87.05,87,IEN,1979.12,Rímac,57.0,1,1,0,1,1,2,5,3.4,0,0,1,0.2
UNI000023,FAU,Arquitectura,16,M,1,14.09,183,0,78.94,26,Ordinario,3787.15,San Juan de Lurigancho,50.0,1,1,0,1,4,1,4,3.5,1,0,0,0.2
UNI000024,FC,Física,20,F,3,13.32,17,2,83.43,37,Ordinario,3902.08,Ate,62.0,1,0,0,1,3,3,2,5.0,0,1,2,0.0
